FITNESSZONE CADUCIDADES 25/26,,,,,,,,,,,,,,
,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,,-46.143,#N/A,,#N/A
LA FILA DE ARRIBA ES LA QUE TIENE LAS FORMULAS CORRECTAS PARA USAR EL LECTOR- COPIA DE AHI PARA INTRODUCIR NUEVAS FILAS,,,,,,,,,,,,,,
UBI,CODIGO,SKU,PRODUCTO,MARCA,TIPO,COSTE,UDS,COSTE TOTAL,FECHA,FECHA MES,DIAS,ESTADO,OBSERVACIONES,TAGS
LR,5999076234905,1145-4,Vegan Protein 2 Kg Plátano,Biotech USA,Proteína,"35,44",1,"35,44",31/03/2020,mar-2020,-2.222,ROTO,PEQUEÑA ROTURA - 12/12/26,"1.01 kg - 2.50 kg, 10-14gr, 10IVA, 4-8gr, 71-75gr, Arginina, Ganar músculo, Glutamina, No animal / Vegetal, Perder peso, Polvo, Proteínas, Vegana"
3C,8436568400570,849-1,Copos de Avena Bio sin Gluten 1 Kg,BioArtesa,Comida Fitness,"4,04",1,"4,04",31/03/2026,mar-2026,-31,VENDIDO,PEQUEÑA ROTURA,"+vistos, 0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Masticable, Sin gluten, Sin lactosa"
3C,5060751995418,2469-3,High Protein Shake 500 Ml Vainilla,Optimum Nutrition,Proteína,"2,39",8,"19,12",25/07/2026,jul-2026,85,VIGENTE,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
CL,8436601102478,1803,Sport Live 100% Creatine Monohydrate 200 MESH 300 Gr,Drasanvi,Creatina,"8,47",1,"8,47",01/01/2025,ene-2025,-485,ROTO,ROTO 05-28,"0-4gr, 10IVA, AMAZON.AUMENTO.2.99, Creatina, DECATHLON.EXCLUIDO, Ganar músculo, Monohidrato, Oferta, Polvo"
CL,8436540536938,1470-2,"Monstrous Gainer 1,5 Kg Vainilla",Vitobest,Carbos / Subidores,"9,16",1,"9,16",31/07/2025,jul-2025,-274,REGALO CADUCADO,VIENE CADUCADA DE ALM DE HACE  8 MESES,"0-20gr, 0-3gr, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.1.99, Amilopectina, Con carbohidratos, Contiene Creatina, Dextrosa, Ganadores de peso, Ganar músculo, Maltodextrina, Recuperación"
CL,8436594157066,1572-7,Isolate CFM Zero 2 Kg Leche Merengada,Vitobest,Proteína,"51,68",1,"51,68",31/10/2025,oct-2025,-182,VENDIDO CADUCADO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 91-100gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,8594159536159,58-2,WaxyGo 2 Kg Frutas,Amix Nutrition,Carbos / Subidores,"15,99",2,"31,98",31/10/2025,oct-2025,-182,VENDIDO CADUCADO,1,"1.01 kg - 2 kg, 10IVA, 81-100gr, < 3 kg, AMAZON.EXCLUIDO.PROBLEMAS, Amilopectina, AMIX, Carbohidratos, Con carbohidratos, Endurance, Ganar músculo, Más Energía, Polvo, Recuperación"
CL,5060751995371,2663-3,High Protein Shake 330 Ml Fresa,Optimum Nutrition,Proteína,"2,39",4,"9,56",15/06/2026,jun-2026,45,VIGENTE,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
3C,8436578411047,1180-12,Iso Zero 1 Kg White Cookies,WheyLand,Proteína,"29,10",1,"29,10",30/06/2024,jun-2024,-670,VENDIDO CADUCADO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, AMAZON.AUMENTO.4.99, BULEVIP.AUMENTO.2.99, DECATHLON.AUMENTO.4.99, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
CL,8435699401906,1050-5,Protein Pancake 1 Kg Chocolate,Quamtrax,Comida Fitness,"11,28",1,"11,28",10/04/2026,abr-2026,-21,VENDIDO,,"0 kg - 1 kg, 10IVA, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Keto, Novedades"
CL,8491366274112,2805-3,Creatine X-Gen 500 Gr Ice Blue,Scientiffic Nutrition,Creatina,"11,33",1,"11,33",01/01/2025,ene-2025,-485,VENDIDO,bote bastante dañado 9/27,
CL,8435699401975,1050-2,Protein Pancake 1 Kg Chocolate Blanco,Quamtrax,Comida Fitness,"11,28",1,"11,28",03/04/2026,abr-2026,-28,VENDIDO,,"0 kg - 1 kg, 10IVA, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Keto, Novedades"
CL,8435699401944,1050-7,Protein Pancake 1 Kg Bombón Rocher,Quamtrax,Comida Fitness,"11,28",1,"11,28",04/08/2026,ago-2026,95,VENDIDO,,"0 kg - 1 kg, 10IVA, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Keto, Novedades"
CL,8436594152993,1558-15,Whey Amino Complex 500 Gr Vainilla,Vitobest,Proteína,"8,16",1,"8,16",01/01/2025,ene-2025,-485,VENDIDO,PEQUEÑA ROTURA 31/12/2026,"1.01 kg - 2.50 kg, 10IVA, 15-24gr, 4-8gr, 70-74gr, AMAZON.AUMENTO.1.99, Añadido extra de aminoácidos, Concentrada, Ganar músculo, Polvo, PRODUCTOCL, Proteínas"
CL,8594159532960,765-11,Whey Pure Fusion 4 Kg Chocolate,Amix Nutrition,Proteína,"76,72",1,"76,72",01/01/2025,ene-2025,-485,ROTO,PEQUEÑA ROTURA 14/02/2027,"+vistos, 10IVA, 2.51 kg - 4 kg, 4-8gr, 5-9gr, 75-79gr, 76-80gr, AMIX, Combinada, Enzimas digestivas, Ganar músculo, Mixta (iso/concentrado), Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,8436567350470,2582-2,Isotonic Drink 1 Kg Cola,226ERS,Carbos / Subidores,"19,80",1,"19,80",01/01/2025,ene-2025,-485,ROTO,ROTO 7/27 VIENE DE ALM,"0 kg - 1 kg, 10IVA, < 3 kg, BULEVIP.AUMENTO.0.99, Carbohidratos, Cloro, Con carbohidratos, DECATHLON.AUMENTO.0.99, Endurance, Magnesio, Más Energía, Polvo, Potasio, Recuperación, Salud y Bienestar, Vitamina B1, Vitamina C, Vitamina E, Vitaminas / minerales, Zinc"
CL,8594046792385,2756,Creatine Creapure Capsules 300 Caps,Amix Nutrition,Creatina,"25,15",1,"25,15",01/01/2025,ene-2025,-485,VENDIDO,ROTO 3/28,"0-4gr, 10IVA, Creapure, Creatina, Cápsulas, Ganar músculo, Monohidrato"
CL,8437024233114,1544,Creatine 100% Creapure 400 Gr,Perfect Nutrition,Creatina,"15,95",1,"15,95",01/01/2025,ene-2025,-485,VENDIDO,ROTO 6/27,"+vistos, 0-4gr, 10IVA, Creapure, Creatina, Ganar músculo, Monohidrato, Más Energía, Polvo"
CL,5999076234912,1145-6,Vegan Protein 2 Kg Avellana,Biotech USA,Proteína,"35,44",1,"35,44",01/01/2025,ene-2025,-485,ROTO,PEQUEÑA ROTURA 14/02/2027,"1.01 kg - 2.50 kg, 10-14gr, 10IVA, 4-8gr, 71-75gr, Arginina, Ganar músculo, Glutamina, No animal / Vegetal, Perder peso, Polvo, Proteínas, Vegana"
CL,5999076227969,1476-1,Protein Power 1 Kg Fresa - Plátano,Biotech USA,Proteína,"14,49",1,"14,49",01/01/2025,ene-2025,-485,VENDIDO,PEQUEÑA ROTURA 31/12/2027,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, AMAZON.AUMENTO.1.99, Combinada, Contiene Creatina, Ganar músculo, Mixta (iso/concentrado), Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Secuencial, Secuencial/caseína"
CL,5060751995418,2469-3,High Protein Shake 500 Ml Vainilla,Optimum Nutrition,Proteína,"2,39",4,"9,56",25/07/2026,jul-2026,85,VIGENTE,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
CL,8436540534460,1401-1,Glutamine + Bcaa 500 Gr Limón,Vitobest,Aminoácidos,"17,14",1,"17,14",01/01/2025,ene-2025,-485,VENDIDO CADUCADO,PEQUEÑA ROTURA 31/08/2025,"+relevantes, 10IVA, Aminoácidos, Destacados, Endurance, Ganar músculo, Glutamina y Bcaa, Perder peso, Polvo, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Vitamina B6"
